Time_dec Time_JD TSI[W.m2] Unc TSI_after_corr[W.m2] Unc_after_corr
1.980413415468857011e+03 2.444391000000000000e+06 1.361539702785820737e+03 5.513671874999999910e-04 1.361902235596827950e+03 5.903416491787014412e-04
1.980416153319644081e+03 2.444392000000000000e+06 1.361548702785820751e+03 5.531250000000000142e-04 1.361716123511722799e+03 5.922237160730012533e-04
1.980418891170431152e+03 2.444393000000000000e+06 1.361518102785820929e+03 5.527343749999999488e-04 1.361472660951682656e+03 5.918054789853790729e-04
1.980421629021218450e+03 2.444394000000000000e+06 1.361539502785820787e+03 5.804687500000000385e-04 1.361495845966129309e+03 6.215003122065536692e-04
1.980424366872005521e+03 2.444395000000000000e+06 1.361569802785820912e+03 5.511718750000000125e-04 1.361523660359359837e+03 5.901325306348904594e-04
1.980427104722792592e+03 2.444396000000000000e+06 1.361602002785820787e+03 5.533203124999999927e-04 1.361568441013086158e+03 5.924328346168123436e-04
1.980429842573579663e+03 2.444397000000000000e+06 1.361620502785820918e+03 5.548828125000000375e-04 1.361539702550336642e+03 5.941057829673010654e-04
1.980432580424366961e+03 2.444398000000000000e+06 1.361660102785820754e+03 5.568359375000000392e-04 1.361581371916088074e+03 5.961969684054119678e-04
1.980435318275154032e+03 2.444399000000000000e+06 1.361736202785820751e+03 5.513671874999999910e-04 1.361807681856586896e+03 5.903416491787014412e-04
1.980438056125941102e+03 2.444400000000000000e+06 1.361760302785820841e+03 5.490234375000000323e-04 1.361828485424851806e+03 5.878322266529684668e-04
1.980440793976728173e+03 2.444401000000000000e+06 1.361747402785820896e+03 5.798828124999999946e-04 1.361736621584484965e+03 6.208729565751202901e-04
1.980443531827515471e+03 2.444402000000000000e+06 1.361747102785820744e+03 5.531250000000000142e-04 1.361735715954964917e+03 5.922237160730012533e-04
1.980446269678302542e+03 2.444403000000000000e+06 1.361755102785820782e+03 5.546874999999999506e-04 1.361787755668945465e+03 5.938966644234899752e-04
1.980449007529089613e+03 2.444404000000000000e+06 1.361727902785820788e+03 5.544921874999999721e-04 1.361691395546979265e+03 5.936875458796788850e-04
1.980451745379876684e+03 2.444405000000000000e+06 1.361690002785820752e+03 5.496093749999999677e-04 1.361526091893531202e+03 5.884595822844016291e-04
1.980454483230663982e+03 2.444406000000000000e+06 1.361688102785820774e+03 5.515624999999999695e-04 1.361390072442080964e+03 5.905507677225125315e-04
1.980457221081451053e+03 2.444407000000000000e+06 1.361805502785820863e+03 5.496093749999999677e-04 1.361656836024498716e+03 5.884595822844016291e-04
1.980459958932238123e+03 2.444408000000000000e+06 1.361981402785820819e+03 5.490234375000000323e-04 1.362103797329820736e+03 5.878322266529684668e-04
1.980462696783025422e+03 2.444409000000000000e+06 1.362083502785820883e+03 5.787109375000000153e-04 1.362210922797278727e+03 6.196182453122538571e-04
1.980465434633812492e+03 2.444410000000000000e+06 1.362204202785820826e+03 5.546874999999999506e-04 1.362685244203575166e+03 5.938966644234899752e-04
1.980468172484599563e+03 2.444411000000000000e+06 1.362119102785820814e+03 5.587890625000000409e-04 1.362476549506972106e+03 5.982881538435228701e-04
1.980470910335386634e+03 2.444412000000000000e+06 1.361912602785820809e+03 5.582031249999999971e-04 1.361991848321824818e+03 5.976607982120895994e-04
1.980473648186173932e+03 2.444413000000000000e+06 1.361684002785820894e+03 5.552734374999999944e-04 1.361483903840831317e+03 5.945240200549232459e-04
1.980476386036961003e+03 2.444414000000000000e+06 1.361543602785820894e+03 5.548828125000000375e-04 1.361273002235394188e+03 5.941057829673010654e-04
1.980479123887748074e+03 2.444415000000000000e+06 1.361486602785820878e+03 5.531250000000000142e-04 1.361237210649024746e+03 5.922237160730012533e-04
1.980481861738535144e+03 2.444416000000000000e+06 1.361497102785820744e+03 5.537109374999999497e-04 1.361314495069769919e+03 5.928510717044345240e-04
1.980484599589322443e+03 2.444417000000000000e+06 1.361567702785820757e+03 5.826171875000000187e-04 1.361530331665786434e+03 6.238006161884755534e-04
1.980487337440109513e+03 2.444418000000000000e+06 1.361647802785820886e+03 5.539062500000000366e-04 1.361751790003402220e+03 5.930601902482457227e-04
1.980490075290896584e+03 2.444419000000000000e+06 1.361696502785820712e+03 5.511718750000000125e-04 1.361949752263701839e+03 5.901325306348904594e-04
1.980492813141683882e+03 2.444420000000000000e+06 1.361617702785820711e+03 5.511718750000000125e-04 1.361638153319095863e+03 5.901325306348904594e-04
1.980495550992470953e+03 2.444421000000000000e+06 1.361545202785820720e+03 5.511718750000000125e-04 1.361337936440223075e+03 5.901325306348904594e-04
1.980498288843258024e+03 2.444422000000000000e+06 1.361617202785820837e+03 5.576171874999999532e-04 1.361664495222202277e+03 5.970334425806562203e-04
1.980501026694045095e+03 2.444423000000000000e+06 1.361663702785820760e+03 5.564453124999999738e-04 1.361839949550053234e+03 5.957787313177897873e-04
1.980503764544832393e+03 2.444424000000000000e+06 1.361606602785820769e+03 5.570312500000000177e-04 1.361588338604454066e+03 5.964060869492230580e-04
1.980506502395619464e+03 2.444425000000000000e+06 1.361573302785820715e+03 5.843750000000000420e-04 1.361517884359315076e+03 6.256826830827753655e-04
1.980509240246406534e+03 2.444426000000000000e+06 1.361549602785820753e+03 5.537109374999999497e-04 1.361415691347703159e+03 5.928510717044345240e-04
1.980511978097193605e+03 2.444427000000000000e+06 1.361597602785820754e+03 5.550781250000000160e-04 1.361636966637655405e+03 5.943149015111121557e-04
1.980514715947980903e+03 2.444428000000000000e+06 1.361594702785820800e+03 5.498046874999999462e-04 1.361626368034059624e+03 5.886687008282127194e-04
1.980517453798767974e+03 2.444429000000000000e+06 1.361567502785820807e+03 5.517578124999999480e-04 1.361551834848845829e+03 5.907598862663236217e-04
1.980520191649555045e+03 2.444430000000000000e+06 1.361557002785820714e+03 5.552734374999999944e-04 1.361595829851786675e+03 5.945240200549232459e-04
1.980522929500342343e+03 2.444431000000000000e+06 1.361547202785820900e+03 5.509765625000000340e-04 1.361699830670666415e+03 5.899234120910793692e-04
1.980525667351129414e+03 2.444432000000000000e+06 1.361465502785820718e+03 5.523437499999999918e-04 1.361533882832890640e+03 5.913872418977568924e-04
1.980528405201916485e+03 2.444433000000000000e+06 1.361368702785820915e+03 5.833984375000000411e-04 1.361359690107096185e+03 6.246370903637199143e-04
1.980531143052703555e+03 2.444434000000000000e+06 1.361277802785820768e+03 5.574218749999999747e-04 1.361137491403135300e+03 5.968243240368452385e-04
1.980533880903490854e+03 2.444435000000000000e+06 1.361276502785820867e+03 5.607421875000000427e-04 1.361215510750645990e+03 6.003793392816337724e-04
1.980536618754277924e+03 2.444436000000000000e+06 1.361320402785820761e+03 5.666015625000000479e-04 1.361401479195011234e+03 6.066528955959663710e-04
1.980539356605064995e+03 2.444437000000000000e+06 1.361335402785820861e+03 5.568359375000000392e-04 1.361418325191961685e+03 5.961969684054119678e-04
1.980542094455852066e+03 2.444438000000000000e+06 1.361336202785820888e+03 5.546874999999999506e-04 1.361411918144961874e+03 5.938966644234899752e-04
1.980544832306639364e+03 2.444439000000000000e+06 1.361313402785820927e+03 5.564453124999999738e-04 1.361291143024334360e+03 5.957787313177897873e-04
1.980547570157426435e+03 2.444440000000000000e+06 1.361293402785820717e+03 5.564453124999999738e-04 1.361091678432719391e+03 5.957787313177897873e-04
1.980550308008213506e+03 2.444441000000000000e+06 1.361372002785820769e+03 5.792968749999999507e-04 1.361248503238791272e+03 6.202456009436870194e-04
1.980553045859000576e+03 2.444442000000000000e+06 1.361456502785820931e+03 5.501953125000000116e-04 1.361246964889975970e+03 5.890869379158350082e-04
1.980555783709787875e+03 2.444443000000000000e+06 1.361611902785820803e+03 5.519531250000000349e-04 1.361454832542365921e+03 5.909690048101348204e-04
1.980558521560574945e+03 2.444444000000000000e+06 1.361816202785820906e+03 5.541015625000000151e-04 1.361779570206220569e+03 5.932693087920567045e-04
1.980561259411362016e+03 2.444445000000000000e+06 1.362026002785820765e+03 5.542968749999999936e-04 1.362075048205148732e+03 5.934784273358677947e-04
1.980563997262149314e+03 2.444446000000000000e+06 1.362252902785820879e+03 5.605468749999999558e-04 1.362611512141059393e+03 6.001702207378225738e-04
1.980566735112936385e+03 2.444447000000000000e+06 1.362329402785820776e+03 5.652343749999999816e-04 1.362718406415096979e+03 6.051890657892887394e-04
